timestamp,latitude,longitude,timezone,temperature_c,windspeed_kmh,winddirection_deg,weathercode
2025-09-01T00:00,39.746895,-104.987076,America/Denver,15.1,7.6,265,0
2025-09-01T01:00,39.746895,-104.987076,America/Denver,13.9,1.0,135,0
2025-09-01T02:00,39.746895,-104.987076,America/Denver,13.3,5.9,166,0
2025-09-01T03:00,39.746895,-104.987076,America/Denver,12.3,6.6,202,0
2025-09-01T04:00,39.746895,-104.987076,America/Denver,11.7,7.1,210,0
2025-09-01T05:00,39.746895,-104.987076,America/Denver,10.6,5.9,166,0
2025-09-01T06:00,39.746895,-104.987076,America/Denver,10.8,7.4,209,0
2025-09-01T07:00,39.746895,-104.987076,America/Denver,10.3,5.7,235,0
2025-09-01T08:00,39.746895,-104.987076,America/Denver,13.9,5.0,210,0
2025-09-01T09:00,39.746895,-104.987076,America/Denver,19.0,2.3,231,0
2025-09-01T10:00,39.746895,-104.987076,America/Denver,21.9,7.2,37,0
2025-09-01T11:00,39.746895,-104.987076,America/Denver,24.1,7.7,37,0
2025-09-01T12:00,39.746895,-104.987076,America/Denver,26.2,8.6,33,0
2025-09-01T13:00,39.746895,-104.987076,America/Denver,27.5,10.5,52,0
2025-09-01T14:00,39.746895,-104.987076,America/Denver,28.3,12.9,27,0
2025-09-01T15:00,39.746895,-104.987076,America/Denver,29.0,13.6,22,0
2025-09-01T16:00,39.746895,-104.987076,America/Denver,28.9,12.4,36,0
2025-09-01T17:00,39.746895,-104.987076,America/Denver,28.9,12.6,37,0
2025-09-01T18:00,39.746895,-104.987076,America/Denver,27.8,13.0,46,0
2025-09-01T19:00,39.746895,-104.987076,America/Denver,26.9,8.2,23,0
2025-09-01T20:00,39.746895,-104.987076,America/Denver,23.2,11.4,77,0
2025-09-01T21:00,39.746895,-104.987076,America/Denver,21.6,11.2,86,0
2025-09-01T22:00,39.746895,-104.987076,America/Denver,19.8,4.7,122,0
2025-09-01T23:00,39.746895,-104.987076,America/Denver,18.1,7.3,279,0
2025-09-02T00:00,39.746895,-104.987076,America/Denver,16.6,5.8,277,0
2025-09-02T01:00,39.746895,-104.987076,America/Denver,16.2,4.0,260,0
2025-09-02T02:00,39.746895,-104.987076,America/Denver,15.5,8.4,160,0
2025-09-02T03:00,39.746895,-104.987076,America/Denver,14.1,7.6,180,0
2025-09-02T04:00,39.746895,-104.987076,America/Denver,13.6,8.7,185,0
2025-09-02T05:00,39.746895,-104.987076,America/Denver,12.8,6.9,186,0
2025-09-02T06:00,39.746895,-104.987076,America/Denver,12.1,5.1,231,0
2025-09-02T07:00,39.746895,-104.987076,America/Denver,11.8,3.4,252,0
2025-09-02T08:00,39.746895,-104.987076,America/Denver,15.1,1.6,207,0
2025-09-02T09:00,39.746895,-104.987076,America/Denver,19.2,2.5,352,0
2025-09-02T10:00,39.746895,-104.987076,America/Denver,22.7,4.9,17,0
2025-09-02T11:00,39.746895,-104.987076,America/Denver,25.5,4.6,45,0
2025-09-02T12:00,39.746895,-104.987076,America/Denver,28.0,4.6,39,0
2025-09-02T13:00,39.746895,-104.987076,America/Denver,29.4,8.0,54,0
2025-09-02T14:00,39.746895,-104.987076,America/Denver,30.3,11.2,75,1
2025-09-02T15:00,39.746895,-104.987076,America/Denver,30.7,11.7,47,3
2025-09-02T16:00,39.746895,-104.987076,America/Denver,30.3,12.5,46,3
2025-09-02T17:00,39.746895,-104.987076,America/Denver,30.0,13.6,17,0
2025-09-02T18:00,39.746895,-104.987076,America/Denver,29.3,8.7,353,3
2025-09-02T19:00,39.746895,-104.987076,America/Denver,27.3,18.8,36,3
2025-09-02T20:00,39.746895,-104.987076,America/Denver,23.5,14.2,74,1
2025-09-02T21:00,39.746895,-104.987076,America/Denver,21.1,9.6,290,0
2025-09-02T22:00,39.746895,-104.987076,America/Denver,20.0,9.0,254,0
2025-09-02T23:00,39.746895,-104.987076,America/Denver,18.8,8.2,229,0
2025-09-03T00:00,39.746895,-104.987076,America/Denver,17.9,7.7,191,0
2025-09-03T01:00,39.746895,-104.987076,America/Denver,16.6,7.6,175,0
2025-09-03T02:00,39.746895,-104.987076,America/Denver,15.8,9.5,189,0
2025-09-03T03:00,39.746895,-104.987076,America/Denver,14.9,7.7,191,0
2025-09-03T04:00,39.746895,-104.987076,America/Denver,14.2,7.6,180,0
2025-09-03T05:00,39.746895,-104.987076,America/Denver,13.7,9.4,212,0
2025-09-03T06:00,39.746895,-104.987076,America/Denver,14.4,9.1,198,1
2025-09-03T07:00,39.746895,-104.987076,America/Denver,14.5,8.1,212,0
2025-09-03T08:00,39.746895,-104.987076,America/Denver,16.7,5.6,333,0
2025-09-03T09:00,39.746895,-104.987076,America/Denver,20.5,4.9,17,0
2025-09-03T10:00,39.746895,-104.987076,America/Denver,25.4,7.6,357,0
2025-09-03T11:00,39.746895,-104.987076,America/Denver,27.0,21.9,25,0
2025-09-03T12:00,39.746895,-104.987076,America/Denver,28.2,21.9,27,0
2025-09-03T13:00,39.746895,-104.987076,America/Denver,29.2,15.0,30,0
2025-09-03T14:00,39.746895,-104.987076,America/Denver,29.4,14.2,27,3
2025-09-03T15:00,39.746895,-104.987076,America/Denver,29.7,13.0,42,3
2025-09-03T16:00,39.746895,-104.987076,America/Denver,29.9,15.3,19,3
2025-09-03T17:00,39.746895,-104.987076,America/Denver,28.0,11.9,2,3
2025-09-03T18:00,39.746895,-104.987076,America/Denver,28.2,5.5,328,3
2025-09-03T19:00,39.746895,-104.987076,America/Denver,27.7,6.8,328,3
2025-09-03T20:00,39.746895,-104.987076,America/Denver,26.5,2.8,320,2
2025-09-03T21:00,39.746895,-104.987076,America/Denver,25.5,2.7,67,0
2025-09-03T22:00,39.746895,-104.987076,America/Denver,24.4,4.7,58,0
2025-09-03T23:00,39.746895,-104.987076,America/Denver,23.7,6.9,276,3
